Account,total_pnl,trades,win_rate,avg_pnl,total_volume,avg_roi,short_share,active_days,coins,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,fear_bucket_pnl,greed_bucket_pnl,antifragility_score,cluster,cluster_label
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,1732,0.7927251732101617,923.9202193874133,30197521.86,0.07178615236062297,0.17032332563510394,19,2,124769.221441,1113373.547515,125650.11674,276719.270187,-40282.335904,1238142.768956,236436.93428299998,0.6259762330176709,2,Opportunistic Swing Traders
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,4166,0.7736437830052808,11.494316013922226,6057897.81,0.00187682180332873,0.8689390302448392,39,12,-4235.153050999999,-1658.7368009999998,-11933.080125,30053.395556,35658.894935000004,-5893.889851999999,65712.290491,-1.495368091397965,0,Volume-First Short Specialists
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,1607,0.7156191661481021,-43.83085956316117,16975416.26,0.000287984473363782,0.0715619166148102,11,8,16706.884912,30121.91049,-19038.340561,-100019.806374,1793.1602149999999,46828.795402,-98226.64615900001,-2.059387920424525,2,Opportunistic Swing Traders
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,6772,0.8620791494388659,19.560663696692263,3436045.78,0.10300531022334582,0.6704075605434141,158,88,-25666.012284,13422.524859,5505.749364,31192.591971,108009.960644,-12243.487425000001,139202.552615,-1.1432925833921141,1,Diversified Alpha Scalers
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2060,0.8174757281553398,81.87281795825243,5167788.4,0.03700799264078592,0.9995145631067961,69,49,11415.247787,3979.190772,42292.843076,20075.672949,90895.05041,15394.438559,110970.723359,-0.5666869165409618,1,Diversified Alpha Scalers
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,570,0.6508771929824562,-54.74315787017544,818941.29,-0.6444457147747858,0.8771929824561403,21,37,-56967.825773000004,-467.058896,-1228.907104,-3531.989984,30992.181771,-57434.88466900001,27460.191787,2.7206821166176196,2,Opportunistic Swing Traders
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,1767,0.66553480475382,8.181618186757214,8584033.78,0.011593368769064147,0.2507074136955291,32,13,-76179.494853,54685.021109,10953.24796,10591.760255,14406.384865,-21494.473743999995,24998.14512,-3.2159423306890895,2,Opportunistic Swing Traders
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,158,1.0,338.58384331012655,501721.69,0.08942864062029741,1.0,15,11,110.553364,4256.559309,8019.163096,4239.816383,36870.155091,4367.1126730000005,41109.971474,-0.6868305852203084,3,Precision Snipers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,90,1.0,2216.728808133333,484126.9,0.5542611319177693,0.14444444444444443,10,7,9461.082288,99648.278349,74293.663505,12082.95,4019.61859,109109.360637,16102.56859,0.4661863899321257,3,Precision Snipers
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,599,1.0,695.395446312187,1390253.66,0.27701334110917947,1.0,7,4,0.0,5615.052102,58961.37973,227680.491734,124284.948775,5615.052102,351965.440509,-0.8314899687286705,3,Precision Snipers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,3663,0.822003822003822,28.212862724815725,2149498.16,0.04461241760470234,0.39967239967239965,138,67,-14527.442518,9999.484228,4029.241688,36566.483324,67275.949439,-4527.9582900000005,103842.432763,-1.0486403535573359,1,Diversified Alpha Scalers
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,2233,0.948499776085983,303.5141292624273,20123109.27,0.029988658250845106,0.9072995969547694,42,11,166696.399486,296781.722858,97380.090931,96392.783186,20496.054182,463478.12234400003,116888.83736800001,0.5113844238011509,0,Volume-First Short Specialists
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,2949,0.9267548321464903,104.77309925940996,64826841.9,0.004183443459996048,0.7375381485249237,201,2,74346.546606,-19126.158064,45514.323221,79023.471493,129217.68646,55220.388542,208241.157953,-0.4952515209412678,0,Volume-First Short Specialists
